Polymer substrates	Code/function	CAZy families;virens_Gv29_8;J7;virens_imi_304061;virens_ft_333;reesei_ss_ii;reesei_RutC30;reesei_QM6a;reesei_CBS_999.97;parareesei_CBS_125925;longibrachiatum_smf2;koningiopsis_pos7;koningii_jcm_1883;harzianum_TR274;harzianum_Tr1;harzianum_T6776;harzianum_CBS_226.95;hamatum_gd_12;guizhouense_NJAU_4742;gamsii_T6085;gamsii_A5MH;citrinoviride_TUCIM_6016;brevicompactum_ibt40841;atroviride_xs2015;atroviride_ly357;atroviride_jcm_9410;atroviride_IMI_206040;atrobrunneum_item_908;asperellum_ts95;asperellum_tr356;asperellum_CBS_433.97;asperellum_b05;arundinaceum_IBT_40837
Chitin	LPMO11	AA11;5;2;6;5;3;4;4;4;3;3;3;4;4;3;4;4;3;3;3;3;4;4;3;3;3;3;4;4;4;4;4;4
Chitin	CDA	CE4;4;4;5;4;3;3;4;4;4;4;5;4;4;4;2;4;4;4;6;4;4;6;5;5;5;5;4;4;4;4;4;5
Chitin	BHE	GH3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2
Chitin	ECH	GH18;33;20;42;32;20;20;20;20;20;20;27;20;31;28;26;33;31;26;27;28;18;34;30;30;31;30;28;33;29;28;30;25
Chitin	BHE	GH20;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Chitosan	BGA	GH2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Chitosan	ECT	GH75;5;3;5;5;5;3;3;4;3;3;5;3;5;5;5;5;7;4;4;5;3;5;5;5;5;5;5;5;5;5;5;5
α-1,3-glucan	A-1,3-G	GH71;5;4;6;5;5;4;4;5;4;3;5;4;7;7;7;7;5;7;4;6;4;9;4;4;4;4;7;4;4;4;4;8
β-1,3-glucan	B-1,3-G	GH5_9;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
β-1,3/1,4-glucan	B-1,3(4)-G	GH16;16;17;19;16;16;16;16;16;14;15;17;15;16;15;16;16;17;16;17;17;15;15;17;16;17;17;16;17;17;17;16;16
β-1,3-glucan	B-1,3-G	GH17;4;5;4;4;5;5;5;5;5;5;4;5;4;4;4;4;4;4;5;5;4;5;4;4;4;4;4;5;5;4;5;5
β-1,6-glucan	B-1,6-G	GH5_15;2;1;4;2;0;0;1;1;1;1;2;1;2;2;3;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2
β-1,6-glucan	B-1,6-G	GH30_3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
β-1,3-glucan	B-1,3-G	GH55;10;8;10;10;10;6;6;10;6;6;9;6;10;9;9;10;8;9;8;9;9;12;7;8;7;7;10;8;8;8;9;10
β-1,3-glucan	B-1,3-G	GH64;3;2;8;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;4;4
β-1,3-glucan	B-1,3-GT	GH72;6;5;7;6;6;5;5;6;5;5;6;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4
β-1,3-glucan	B-1,3-G	GH81;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
β-1,3-glucan	B-1,3-G	GH128;5;4;7;5;4;4;4;4;4;3;5;3;5;4;5;5;5;5;5;6;4;5;5;5;5;5;5;5;5;5;5;6
β-1,3-glucan	B-1,3-G	GH132;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2
α-Mannans	AMN	GH38;2;1;2;2;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1
α-Mannans	AMN	GH47;8;8;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
α-Mannans	A6MN	GH76;7;7;11;9;9;8;8;9;8;8;9;8;10;8;9;9;8;9;7;9;9;10;9;8;9;9;9;8;9;8;8;10
α-Mannans	AMN	GH92;7;8;7;7;7;7;7;7;7;7;8;7;7;7;7;7;8;7;8;8;7;8;8;8;8;8;7;8;8;8;8;8
α-Mannans	EMN	GH125;3;2;5;2;2;2;2;2;2;2;2;2;3;2;3;3;2;3;2;2;2;2;2;2;2;2;3;3;3;3;3;3
