Majority protein IDs	LFQ intensity 10_R1	LFQ intensity 10_R2	LFQ intensity 10_R3	LFQ intensity 11_R1	LFQ intensity 11_R2	LFQ intensity 11_R3	Anotacoes	Unique peptides	Sequence coverage [%]
evm_model_NODE_28_97;OKP11876.1;CEJ62111.1;EPS34185.1;KZN84826.1	31002000	27343000	39111000	15249000	20021000	15204000	HSP90, C-terminal domain;Heat shock protein Hsp90 family;Heat shock protein Hsp90, N-terminal;Heat shock protein Hsp90, conserved site;Histidine kinase/HSP90-like ATPase;Histidine kinase/HSP90-like ATPase superfamily;Ribosomal protein S5 domain 2-type fold;heat shock protein; molecular chaperone Mod-E/Hsp90	28	40.3
evm_model_NODE_3_32;OKO99926.1;CEJ60544.1	11950000	10940000	10672000	11326000	9835400	13683000	Aminotransferase class-III;Pyridoxal phosphate-dependent transferase;Pyridoxal phosphate-dependent transferase domain 1;Pyridoxal phosphate-dependent transferase, major domain;4-aminobutyrate transaminase; 4-aminobutyrate aminotransferase; GATA_EMENI 4-AMINOBUTYRATE AMINOTRANSFERASE (GAMMA-AMINO-N-BUTYRATE TRANSAMINASE) (GABA TRANSAMINASE) (GABA AMINOTRANSFERASE) (GABA-AT)	26	76.7
evm_model_NODE_5_388	29344000	31180000	32522000	73290000	76448000	81854000	CE10;Alpha/Beta hydrolase fold;Carboxylesterase type B, active site;Carboxylesterase, type B;alpha/beta-hydrolase; Carboxylesterase, type B	26	58.4
evm_model_NODE_26_188;OKP10841.1	191190000	230880000	167800000	518710000	399960000	424100000	CE10;Alpha/Beta hydrolase fold;Peptidase S9, prolyl oligopeptidase, catalytic domain;Six-bladed beta-propeller, TolB-like;WD40-like Beta Propeller;secreted dipeptidyl peptidase; Dipeptidyl-peptidase 5; AltName: Full=Dipeptidyl-peptidase V; Short=DPP V; Short=DppV	25	60.4
evm_model_NODE_28_119;OKP09411.1;CEJ62085.1	6968500	3903000	5247300	5159300	6682300	5987500	Aminopeptidase N-type;ERAP1-like C-terminal domain;P-loop containing nucleoside triphosphate hydrolase;Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase;Peptidase M1, membrane alanine aminopeptidase, N-terminal;Small GTP-binding protein domain;Small GTPase superfamily;aminopeptidase; Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase; glutamyl aminopeptidase	25	28.8
evm_model_NODE_1_325;OKP15223.1;CEJ55612.1	5925700	6480500	6009300	4142600	3958100	4920500	Aminopeptidase N-type;ERAP1-like C-terminal domain;Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase;Peptidase M1, membrane alanine aminopeptidase, N-terminal;Protein of unknown function DUF2808;aminopeptidase 2; lysine aminopeptidase ApsA; alanine/arginine aminopeptidase	24	33
evm_model_NODE_5_339;OKO93748.1;CEJ54310.1	19573000	35631000	39968000	162620000	179870000	145440000	GH3;Fibronectin type III-like domain;Glycoside hydrolase family 3 C-terminal domain;Glycoside hydrolase family 3 C-terminal domain superfamily;Glycoside hydrolase superfamily;Glycoside hydrolase, family 3, N-terminal;Glycoside hydrolase, family 3, N-terminal domain superfamily;Glycoside hydrolase, family 3, active site;Immunoglobulin-like fold;Beta-glucosidase 1; Probable beta-glucosidase A; AltName: Full=Beta-D-glucoside glucohydrolase A; AltName: Full=Cellobiase A; AltName: Full=Gentiobiase A	24	34.3
evm_model_NODE_2_332;OKO93284.1	6239700	5485800	5113500	15134000	15192000	12704000	GH31;Galactose mutarotase, N-terminal barrel;Galactose mutarotase-like domain superfamily;Glycoside hydrolase family 31;Glycoside hydrolase family 31, N-terminal domain;Glycoside hydrolase superfamily;Glycosyl hydrolase, all-beta;Glycosyl hydrolases family 31, active site;Probable alpha/beta-glucosidase agdC; Glycoside hydrolase, family 31	21	35.4
evm_model_NODE_16_181;OKP12639.1;CEJ58852.1	48827000	59495000	51491000	46720000	38361000	39874000	Amidase signature (AS) superfamily;Amidase signature domain;Amidase; amidase signature enzyme; glutamyl-tRNA(Gln) amidotransferase subunit A	20	38.9
evm_model_NODE_41_31;OKP03808.1;EPS27436.1;CEJ54695.1;KZN91378.1	21850000	18342000	22889000	7375500	5422800	6811800	Heat shock protein 70 family;Heat shock protein 70, conserved site;Heat shock protein 70kD, C-terminal domain superfamily;Heat shock protein 70kD, peptide-binding domain superfamily;Heat shock protein 70 family; molecular chaperone Hsp70; Heat shock 70 kDa protein	19	36.8
evm_model_NODE_7_71;OKP13864.1;EPS30096.1;CEJ56107.1	6122300	9440700	7521500	5542900	7675000	5265200	sem anotacao InterPro;UDP-galactopyranose mutase, partial	19	42.1
evm_model_NODE_4_180;OKP11695.1;CEJ60770.1;EPS28974.1;KZN91239.1	10713000	15079000	16202000	11551000	10272000	10623000	Aminotransferase, class I/classII;Aminotransferases, class-I, pyridoxal-phosphate-binding site;Aspartate/other aminotransferase;Pyridoxal phosphate-dependent transferase;Pyridoxal phosphate-dependent transferase domain 1;Pyridoxal phosphate-dependent transferase, major domain;aspartate aminotransferase; aspartate aminotransferase, mitochondrial precursor; Aspartate transaminase	18	50.6
evm_model_NODE_1_135;OKP00319.1;EPS30699.1	1120200	1924300	2949400	2510200	3425900	2634900	ATP-grasp fold;Aldolase-type TIM barrel;Biotin carboxylase, C-terminal;Biotin carboxylase-like, N-terminal domain;Biotin carboxylation domain;Biotin-binding site;Biotin/lipoyl attachment;Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain;Pre-ATP-grasp domain superfamily;Pyruvate carboxylase;Pyruvate carboxyltransferase;Rudiment single hybrid motif;Single hybrid motif;Pyruvate carboxylase; AltName: Full=Pyruvic carboxylase; pyruvate carboxylase pyc	17	16.9
evm_model_NODE_1_311;OKP00510.1;CEJ55597.1;EPS30547.1	3461900	4257300	2625300	10783000	10551000	9643100	Aminotransferase class-III;Ornithine aminotransferase;Ornithine aminotransferase, mitochondrial;Pyridoxal phosphate-dependent transferase;Pyridoxal phosphate-dependent transferase domain 1;Pyridoxal phosphate-dependent transferase, major domain;ornithine aminotransferase; L-ornithine aminotransferase Car2; ornithine-oxo-acid transaminase	17	57.9
evm_model_NODE_2_573;OKO94584.1;CEO58784.1	70480000	82969000	89162000	41666000	45729000	42934000	GH17;Glycoside hydrolase family 17;Glycoside hydrolase superfamily;1,3-beta-glucanosyltransferase Bgt1; Glycoside hydrolase, superfamily; glucan 1,3-beta-glucosidase, partial	17	67.7
evm_model_NODE_21_98;OKO95864.1	5442300	7535100	21106000	0	625530	900740	Disulphide isomerase;Protein disulphide isomerase;Thioredoxin domain;Thioredoxin, conserved site;Thioredoxin-like superfamily;Protein disulfide isomerase; putative protein disulfide isomerase Pdi1; protein disulfide isomerase A pdiA	17	46.6
evm_model_NODE_3_67;OKO99885.1	15352000	21335000	18362000	23698000	17368000	22321000	Adenosine kinase;Carbohydrate kinase PfkB;Ribokinase-like;Adenosine kinase; Ribokinase-like protein; kinase, pfkB family protein	17	68.2
evm_model_NODE_38_114;OKO97976.1	101570000	129240000	102280000	74981000	54734000	70145000	AA7;Berberine/berberine-like;FAD linked oxidase, N-terminal;FAD-binding, type 2;FAD-binding, type 2-like superfamily;FAD-dependent oxygenase; FAD-linked oxidoreductase chyH; AltName: Full=Chrysogine biosynthesis cluster protein H	17	42
evm_model_NODE_51_42;OKO89510.1	120100000	135030000	150560000	125550000	110890000	128080000	PA domain;Peptidase M28;probable leucine aminopeptidase 2; AltName: Full=Aminopeptidase II; AltName: Full=Leucyl aminopeptidase 2; Short=LAP2; Zn-dependent exopeptidase	16	38.7
evm_model_NODE_59_23;OKO89519.1;CEJ54926.1;EPS27207.1;KZN87432.1	4607800	9113400	5209400	7639300	1919400	4002600	L-lactate/malate dehydrogenase;Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal;Lactate/malate dehydrogenase, C-terminal;Lactate/malate dehydrogenase, N-terminal;Malate dehydrogenase, active site;NAD(P)-binding domain superfamily;Malate dehydrogenase, type 1; malate dehydrogenase, mitochondrial precursor; malate dehydrogenase, NAD-dependent	16	62.1
evm_model_NODE_16_168;OKP12654.1;CEJ58863.1	5241300	7397600	5724100	1314300	2310300	1173200	AA2;Catalase-peroxidase haem;Haem peroxidase;Haem peroxidase, plant/fungal/bacterial;Peroxidase, active site;Peroxidases heam-ligand binding site;Catalase-peroxidase heme; putative bifunctional catalase-peroxidase cat2 protein	15	26.9
evm_model_NODE_37_80;OKO97223.1;CEJ57023.1;EPS26761.1	3663000	3241900	2995100	4976500	0	4209800	FAD/NAD(P)-binding domain;FAD/NAD(P)-binding domain superfamily;FAD/NAD-linked reductase, dimerisation domain superfamily;Pyridine nucleotide-disulphide oxidoreductase, class I;Pyridine nucleotide-disulphide oxidoreductase, class I, active site;Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain;Dihydrolipoamide dehydrogenase; Dihydrolipoyl dehydrogenase; dihydrolipoyl dehydrogenase, mitochondrial precursor	15	42.3
evm_model_NODE_8_117;OKP07343.1	23020000	17586000	20229000	13553000	15345000	12998000	GH43_30;Glycoside hydrolase, family 43;Glycosyl hydrolase, five-bladed beta-propellor domain superfamily;Glycoside hydrolase, family 43; Endo-arabinase, putative	15	67
evm_model_NODE_28_104;OKP09429.1	4236300	3044900	3825200	0	0	0	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme;O-acetylhomoserine/O-acetylserine sulfhydrylase;Pyridoxal phosphate-dependent transferase;Pyridoxal phosphate-dependent transferase domain 1;Pyridoxal phosphate-dependent transferase, major domain;O-acetylhomoserine (thiol)-lyase; Homocysteine synthase CysD	14	56.5
evm_model_NODE_27_58;OKP11531.1	4317700	9926200	6824000	13221000	10174000	11797000	AA3_2;FAD/NAD(P)-binding domain superfamily;Glucose-methanol-choline oxidoreductase;Glucose-methanol-choline oxidoreductase, C-terminal;Glucose-methanol-choline oxidoreductase, N-terminal;Glucose-methanol-choline oxidoreductase, C-terminal; choline dehydrogenase; GMC oxidoreductase, putative	13	39.3
evm_model_NODE_3_143;OKO99814.1	151430000	112300000	133180000	83116000	75103000	85715000	GH15;Carbohydrate binding module family 20;Carbohydrate-binding-like fold;GH15-like domain;Glucoamylase;Glucoamylase, CBM20 domain;Glucoamylase, starch-binding;Immunoglobulin-like fold;Six-hairpin glycosidase superfamily;Six-hairpin glycosidase-like superfamily;glucoamylase precursor; glucan 1,4-alpha-glucosidase, putative	13	41.4
evm_model_NODE_8_18;OKO89230.1	6433500	12266000	12502000	13597000	15710000	14122000	GH43_1;Glycoside hydrolase, family 43;Glycosyl hydrolase, five-bladed beta-propellor domain superfamily;beta-xylosidase; Glycoside hydrolase, family 43; putative xylosidase arabinosidase protein	13	51.8
evm_model_NODE_12_243;OKP08296.1	77214000	69359000	79841000	221160000	222820000	228240000	Catalase active site;Catalase core domain;Catalase core domain superfamily;Catalase haem-binding site;Catalase immune-responsive domain;Catalase superfamily;Catalase, mono-functional, haem-containing;Catalase, mono-functional, haem-containing, clade 2;Catalase, mono-functional, heme-containing; mycelial catalase Cat1	12	50.8
evm_model_NODE_15_26;OKP09848.1	0	0	0	1951600	3709600	0	Copper amine oxidase;Copper amine oxidase, N-terminal;Copper amine oxidase, N2-terminal;Copper amine oxidase, N3-terminal;Copper amine oxidase, catalytic domain;Copper amine oxidase, catalytic domain superfamily;Copper amine oxidase, N2-terminal; peroxisomal copper amine oxidase	12	23.9
evm_model_NODE_17_189;OKO97549.1;CEJ57354.1	0	0	0	2328300	0	3086000	GH38;Galactose mutarotase-like domain superfamily;Glycoside hydrolase families 57/38, central domain superfamily;Glycoside hydrolase family 38, N-terminal domain;Glycoside hydrolase family 38, central domain;Glycoside hydrolase family 38, central domain superfamily;Glycoside hydrolase/deacetylase, beta/alpha-barrel;Glycosyl hydrolase family 38, C-terminal;alpha-mannosidase; Glycoside hydrolase-type carbohydrate-binding	12	13.6
evm_model_NODE_20_196;OKO97616.1	10010000	9121300	10399000	7794400	4712800	5590000	GH72;Glucanosyltransferase;Glycoside hydrolase superfamily;Glucanosyltransferase-domain-containing protein; 1,3-beta-glucanosyltransferase Gel1; Glycoside hydrolase, superfamily	12	35.5
evm_model_NODE_30_119	281680	369660	0	3374800	1090500	1941200	Amidase signature (AS) superfamily;Amidase signature domain;amidase family protein; amidase signature enzyme; related to glu/asp-tRNA amidotransferase subunit A	12	41.7
